date, pm25, pm10, o3, no2, so2, co
2023/5/17, 37, 20, 28, 18, 2, 
2023/5/18, 39, 20, 27, 19, 1, 
2023/5/19, 45, 16, 31, 15, 1, 
2023/5/20, 36, 13, 30, 15, 1, 
2023/5/21, 35, 16, 30, 16, 1, 
2023/5/22, 43, 20, 37, 22, 1, 
2023/5/23, 53, 26, 30, 28, 1, 
2023/5/24, 62, 19, 24, 23, 1, 
2023/5/25, 48, 17, 29, 22, 2, 
2023/5/26, 47, 28, 29, 25, 1, 
2023/5/27, 63, 31, 33, 17, 1, 
2023/5/28, 61, 31, 41, 14, 1, 
2023/5/29, 59, 32, 32, 22, 1, 
2023/5/30, 62, 26, 33, 22, 1, 
2023/5/31, 56, 19, 31, 18, 1, 
2023/6/1, 51, 25, 33, 22, , 
2023/6/2, 65, 23, 24, 17, , 
2023/6/3, 59, 19, 26, 15, , 
2023/6/4, 52, 15, 32, 15, , 
2023/6/5, 44, 17, 28, 14, , 
2023/6/6, 37, 17, 27, 14, , 
2023/6/7, 32, 16, 24, 16, , 
2023/6/8, 30, 22, 25, 17, , 
2023/6/9, 40, 23, 32, 15, , 
2023/6/10, 48, 21, 4, 15, , 
2023/6/11, 48, 13, 31, 15, , 
2023/6/12, 27, 16, 27, 15, , 
2023/6/13, 30, 15, 31, 16, , 
2023/6/14, 32, 21, 32, 19, , 
2023/6/15, 35, 28, 29, 23, , 
2023/6/16, 54, 26, 37, 10, , 
2023/6/17, 47, 21, 35, 15, , 
2023/6/18, 45, 21, 39, 14, , 
2023/6/19, 47, 31, 32, 22, , 
2023/6/20, 58, 39, 31, 13, , 
2023/6/21, 68, 38, 32, 15, , 
2023/6/22, 65, 25, 29, 10, , 
2023/6/23, 47, 35, 31, 9, , 
2023/6/24, 72, 19, 31, 15, , 
2023/6/25, 51, 22, 29, 19, , 
2023/6/26, 48, 23, 27, 14, , 
2023/6/27, 49, 22, 28, 15, , 
2023/6/28, 50, 26, 27, 20, , 
2023/6/29, 54, 21, 31, 11, , 
2023/6/30, 47, 18, 30, 9, , 
2023/1/2, 66, 49, 11, 18, , 
2023/1/3, 67, 33, 5, 23, , 
2023/1/4, 56, 44, 12, 26, , 
2023/1/5, 47, 28, 14, 18, , 
2023/1/6, 34, 28, 17, 20, , 
2023/1/7, 41, 24, 9, 20, , 
2023/1/8, 39, 20, 23, 12, , 
2023/1/9, 24, 20, 21, 19, , 
2023/1/10, 14, 33, 8, 23, , 
2023/1/11, 25, 38, 15, 20, , 
2023/1/12, 32, 36, 13, 26, , 
2023/1/13, 35, 47, 16, 20, , 
2023/1/14, 46, 26, 22, 13, , 
2023/1/15, 33, 17, 21, 13, , 
2023/1/16, 19, 20, 26, 9, , 
2023/1/17, 10, 18, 27, 10, , 
2023/1/18, 6, 19, 24, 9, , 
2023/1/19, 7, 22, 17, 19, , 
2023/1/20, 9, 24, 22, 12, , 
2023/1/21, 15, 19, 20, 17, , 
2023/1/22, 13, 28, 12, 19, , 
2023/1/23, 23, 33, 14, 16, , 
2023/1/24, 32, 26, 17, 15, 1, 
2023/1/25, 38, 30, 13, 17, 3, 
2023/1/26, 50, 35, 12, 18, 3, 
